circuit,E_raw,sd_raw,E_postsel,sd_postsel,discard_frac,retained_shots,acceptance,E_m3_quasi,E_m3_sym,m3_retained_signed_mass,sd_m3_quasi,sd_m3_sym
imp_d1,-1.2840576171875002,0.011038687657873688,-1.4644155819573115,0.010095926140299312,0.159912109375,10323,0.840087890625,-1.3859766472492256,-1.4630501934058344,0.9425845271519696,0.011647657617609698,0.009493428141235102
rbs_d2,-1.37158203125,0.009131622226347275,-1.5698864800717933,0.009127328581242522,0.173095703125,10161,0.826904296875,-1.4764729401134267,-1.5770081550047996,0.9176749576581642,0.009969672365098013,0.008731316870401313
imp_d2,-1.236083984375,0.011672321902082151,-1.5106514548621697,0.01183671410336084,0.20906575520833337,9719,0.7909342447916666,-1.3364833039057253,-1.5231367178136448,0.8757462576031685,0.012808856720014994,0.011573512737131591
imp_d3,-1.1273193359375,0.011350168449467637,-1.3817836483643335,0.011030395955200369,0.21028645833333337,9704,0.7897135416666666,-1.2132816468427987,-1.396155764640646,0.8752761896078786,0.013064205988998667,0.011964104707547977
