,XX_01,YY_01,ZZ_01,XX_12,YY_12,ZZ_12,XX_23,YY_23,ZZ_23,sum/4
imp_d1,-0.9701424977931288,-0.9701424977931288,-1.0000000000000002,-2.481541837659083e-24,-2.481541837659083e-24,-0.24253563444514534,-0.970142497793129,-0.970142497793129,-1.0000000000000002,-1.5307764064044154
rbs_d2,-0.9469653284652326,-0.9469653284652326,-0.8967433333152658,-0.3213357538225934,-0.3213357538225934,-0.10325666668473421,-0.9469653284652326,-0.9469653284652326,-0.8967433333152658,-1.581819038705346
imp_d2,-0.9106835928161445,-0.9106835928161445,-0.9106836017325074,-0.3333333386827184,-0.3333333386827184,-0.3333333630425878,-0.9106835928160473,-0.9106835928160473,-0.9106836017325074,-1.6160254037843556
imp_d3,-0.9106836058508619,-0.9106836058508619,-0.9106836051782135,-0.3333333277385315,-0.3333333277385315,-0.3333333259008209,-0.9106836058508618,-0.9106836058508618,-0.9106836051782135,-1.6160254037844397
