circuit,n_params,seed,E_ideal,err_vs_E0,fidelity,var_H,Sz,var_Sz,P_w0,P_w1,P_w2,P_w3,P_w4
rbs_d1,3,100,-1.4999999999999998,0.11602540378443904,0.9330126818674911,0.1874999772249586,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0
rbs_d2,6,200,-1.581819038705346,0.034206365079092915,0.9846423644136493,0.0760734545365187,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0
rbs_d3,9,300,-1.581819038705346,0.034206365079092915,0.984642364754593,0.07607345593373172,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0
imp_d1,9,10100,-1.5307764064044154,0.08524899738002345,0.9544243365149186,0.15531695430564296,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0
imp_d2,18,10200,-1.616025403784356,8.282263763703668e-14,0.9999999999999314,1.0613732115416497e-13,0.0,0.0,0.0,0.0,1.0000000000000007,0.0,0.0
imp_d3,27,10300,-1.6160254037844397,-8.881784197001252e-16,0.9999999999999996,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,1.000000000000001,0.0,0.0
