arm,circuit,E_hw,stderr,E_ideal,epsilon,abs_epsilon,delta_0,unphysical_overshoot,err_reduction_vs_raw,pct_gap_closure
A_raw,imp_d1,-1.2703857421875,0.008667044866092861,-1.5307764064044154,0.26039066421691537,0.26039066421691537,0.3456396615969388,False,0.0,0.0
A_raw,rbs_d2,-1.328369140625,0.00883475239370453,-1.581819038705346,0.2534498980803459,0.2534498980803459,0.2876562631594388,False,0.0,0.0
A_raw,imp_d2,-1.218017578125,0.00954346076885237,-1.616025403784356,0.398007825659356,0.398007825659356,0.3980078256594388,False,0.0,0.0
A_raw,imp_d3,-1.1121826171875,0.00964929633846429,-1.6160254037844397,0.5038427865969397,0.5038427865969397,0.5038427865969388,False,0.0,0.0
B_trex,imp_d1,-1.433016095504703,0.010487116175283433,-1.5307764064044154,0.09776031089971227,0.09776031089971227,0.18300930827973572,False,0.1626303533172031,62.456291897518184
B_trex,rbs_d2,-1.4834872638766692,0.010410390068996524,-1.581819038705346,0.09833177482867672,0.09833177482867672,0.13253813990776964,False,0.15511812325166918,61.20267730488309
B_trex,imp_d2,-1.3501658733427881,0.010455033764542867,-1.616025403784356,0.26585953044156785,0.26585953044156785,0.26585953044165067,False,0.13214829521778815,33.20243640909972
B_trex,imp_d3,-1.25134065628052,0.011192816223765513,-1.6160254037844397,0.36468474750391966,0.36468474750391966,0.36468474750391877,False,0.13915803909302005,27.619337379606595
